Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
The Hand	"Drama, Horror"
Hard Times	"Action & Adventure, Classics, Drama"
Hardcore	Drama
The Harder They Fall	"Classics, Drama, Mystery & Suspense"
The Haunting	"Classics, Horror"
Hawaii	"Action & Adventure, Classics, Drama"
Heat	"Action & Adventure, Drama"
Heaven	"Documentary, Special Interest"
Heaven Can Wait	"Comedy, Science Fiction & Fantasy, Romance, Sports & Fitness"
Heidi	"Action & Adventure, Classics, Drama, Kids & Family"
The Hidden Fortress (kakushi-toride No San-akunin)	"Action & Adventure, Art House & International, Classics, Drama"
The Hills Have Eyes	"Horror, Mystery & Suspense"
The Hindenburg	"Action & Adventure, Drama, Mystery & Suspense"
The Hit	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
A Hole in the Head	"Classics, Comedy, Drama, Musical & Performing Arts"
100 Bloody Acres	"Comedy, Horror"
100 Girls	"Comedy, Romance"
100 Streets	Drama
The Hound of the Baskervilles	"Classics, Drama, Horror, Mystery & Suspense"
The Hound of the Baskervilles	"Art House & International, Classics, Mystery & Suspense"
House of Wax	"Drama, Horror, Mystery & Suspense"
House On Haunted Hill	"Classics, Drama, Horror"
Hud	"Classics, Drama"
The Human Factor	"Art House & International, Drama, Mystery & Suspense"
The Hunchback of Notre Dame	"Classics, Drama, Horror, Special Interest"
The Hunchback of Notre Dame	"Classics, Drama, Romance"
The Hunter	"Action & Adventure, Drama, Mystery & Suspense, Television"
Hustle	"Action & Adventure, Classics, Drama, Mystery & Suspense"
"I, the Jury"	"Action & Adventure, Drama, Mystery & Suspense"
Imitation of Life	"Classics, Drama"
The Importance of Being Earnest	"Classics, Comedy"
Impulse	"Action & Adventure, Drama, Mystery & Suspense"
In Cold Blood	Drama
The Incubus	"Horror, Mystery & Suspense"
Indiscreet	"Classics, Comedy, Romance"
The Informer	"Classics, Drama"
Inherit the Wind	"Classics, Drama, Faith & Spirituality"
Intolerance	Classics
Invaders from Mars	"Classics, Science Fiction & Fantasy"
Invaders from Mars	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Invasion of the Body Snatchers	"Classics, Mystery & Suspense, Science Fiction & Fantasy"
Invasion of the Body Snatchers	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Invisible Man	"Classics, Comedy, Horror, Science Fiction & Fantasy"
The Island	"Drama, Horror, Mystery & Suspense"
The Island of Dr. Moreau	"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Islands in the Stream	Drama
It	"Classics, Comedy, Drama, Romance"
It's Alive	"Classics, Drama, Horror, Mystery & Suspense"
Ivanhoe	"Action & Adventure, Art House & International, Classics, Drama, Romance"
Jack and the Beanstalk	"Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
Jack Frost	"Animation, Kids & Family, Musical & Performing Arts, Television"
Jamaica Inn	"Action & Adventure, Art House & International, Classics, Mystery & Suspense"
Jason and the Argonauts	"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy"
The Jazz Singer	"Classics, Drama, Musical & Performing Arts"
The Jazz Singer	"Drama, Musical & Performing Arts"
Jesus Christ Superstar	"Drama, Musical & Performing Arts, Faith & Spirituality"
Johnny Belinda	"Classics, Drama"
Judex	"Action & Adventure, Art House & International, Classics, Drama"
Julius Caesar	"Classics, Drama, Mystery & Suspense"
Julius Caesar	"Action & Adventure, Art House & International, Classics, Drama"
Jungle Book	"Action & Adventure, Classics, Drama"
Kansas	"Action & Adventure, Drama, Mystery & Suspense"
Kickboxer	"Action & Adventure, Drama"
Kid Galahad	"Classics, Drama, Musical & Performing Arts"
The Killer Elite	"Action & Adventure, Drama, Mystery & Suspense"
The King and I	"Classics, Musical & Performing Arts, Romance"
King Kong	"Action & Adventure, Classics, Horror"
King Kong	"Action & Adventure, Horror, Science Fiction & Fantasy"
The King of Comedy	"Comedy, Drama, Mystery & Suspense"
King of Kings	"Classics, Drama, Faith & Spirituality"
King Solomon's Mines	"Action & Adventure, Classics, Drama"
The Lady Vanishes	"Classics, Mystery & Suspense"
The Ladykillers	"Art House & International, Classics, Comedy, Drama, Mystery & Suspense"
Laura	"Classics, Mystery & Suspense"
Legend	"Drama, Science Fiction & Fantasy"
Les Miserables	"Classics, Drama"
The Letter	"Classics, Drama"
Lilies of the Field	"Classics, Comedy, Drama"
The Lion in Winter	"Classics, Drama"
The Little Drummer Boy	"Animation, Art House & International, Kids & Family"
Little Lord Fauntleroy	"Classics, Drama, Kids & Family"
The Little Princess	"Classics, Comedy, Drama, Kids & Family, Musical & Performing Arts"
A Little Romance	"Art House & International, Comedy, Drama, Romance"
The Little Shop of Horrors	"Classics, Comedy, Cult Movies, Horror"
