Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Little Shop of Horrors	"Comedy, Horror, Musical & Performing Arts, Science Fiction & Fantasy"
Little Women	"Classics, Drama, Kids & Family, Romance"
Little Women	"Classics, Drama, Kids & Family, Romance"
Lock Up	"Action & Adventure, Drama, Mystery & Suspense"
Lolita	"Classics, Comedy, Drama"
Long Day's Journey Into Night	"Classics, Drama"
"The Long, Hot Summer"	"Classics, Drama"
The Longest Yard	"Action & Adventure, Classics, Comedy, Drama"
Look Back in Anger	"Art House & International, Classics, Drama"
The Lost Patrol	"Action & Adventure, Classics, Drama"
The Love Bug	"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy"
Lovesick	"Comedy, Romance"
Lust for Life	"Classics, Drama"
M	"Art House & International, Drama, Mystery & Suspense"
Made in Heaven	"Comedy, Drama, Science Fiction & Fantasy, Romance"
The Magic Flute (Trollflöjten)	"Art House & International, Comedy, Musical & Performing Arts, Science Fiction & Fantasy, Television, Romance"
The Magnificent Ambersons	"Classics, Drama"
The Magnificent Seven	"Action & Adventure, Classics, Drama, Western"
The Main Event	"Comedy, Special Interest, Romance"
The Maltese Falcon	"Drama, Mystery & Suspense"
A Man for All Seasons	"Classics, Drama"
The Manchurian Candidate	"Classics, Drama, Mystery & Suspense"
The Manhattan Project	"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Manhunter	"Action & Adventure, Mystery & Suspense"
Mannequin	"Comedy, Science Fiction & Fantasy, Romance"
The Mark of Zorro	"Action & Adventure, Classics, Western, Romance"
Marty	"Classics, Drama, Romance"
Masquerade	"Horror, Mystery & Suspense, Romance"
The Mechanic	"Action & Adventure, Classics, Drama, Mystery & Suspense"
The Men	"Classics, Drama"
Meteor	"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Metropolis	"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy"
A Midsummer Night's Dream	"Classics, Comedy, Drama, Science Fiction & Fantasy, Romance"
Mighty Joe Young	"Action & Adventure, Classics, Drama, Science Fiction & Fantasy"
The Miracle Worker	"Classics, Drama"
Missing in Action	Action & Adventure
The Mission	"Art House & International, Drama"
Mister Roberts	"Classics, Comedy, Drama"
Moby Dick	"Action & Adventure, Classics, Drama"
Monkey Business	"Classics, Comedy"
Monkey Business	"Classics, Comedy, Drama, Science Fiction & Fantasy"
Moonraker	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Morning Glory	"Classics, Drama"
Moulin Rouge	"Classics, Drama, Musical & Performing Arts"
Mr. & Mrs. Smith	"Classics, Comedy, Romance"
Mrs. Soffel	"Drama, Mystery & Suspense"
The Mummy	"Classics, Horror, Romance"
The Mummy	"Art House & International, Classics, Horror"
Murder!	"Classics, Drama, Mystery & Suspense"
The Music Man	"Musical & Performing Arts, Romance"
Mutiny on the Bounty	"Action & Adventure, Classics, Drama"
Mutiny on the Bounty	"Action & Adventure, Classics, Drama"
My Man Godfrey	"Classics, Comedy, Drama, Romance"
Mysterious Island	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
Near Dark	"Horror, Mystery & Suspense, Western, Romance"
Neighbors	Comedy
Next of Kin	"Action & Adventure, Drama"
Nicholas and Alexandra	"Art House & International, Classics, Drama"
A Night at the Opera	"Classics, Comedy, Musical & Performing Arts, Romance"
Night of the Living Dead	"Classics, Cult Movies, Horror"
A Night to Remember	"Action & Adventure, Classics, Drama, Special Interest"
Nighthawks	Action & Adventure
No Man's Land	"Action & Adventure, Drama"
No Mercy	"Action & Adventure, Drama, Mystery & Suspense"
No Way Out	"Action & Adventure, Drama, Mystery & Suspense"
The Nutty Professor	"Classics, Comedy"
Obsession	"Drama, Mystery & Suspense"
The Odd Couple	"Classics, Comedy, Drama"
Odd Man Out	"Classics, Drama, Mystery & Suspense"
The Odessa File	"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
The Omen	"Classics, Horror, Mystery & Suspense"
On the Beach	"Classics, Drama, Science Fiction & Fantasy"
On the Town	"Classics, Comedy, Musical & Performing Arts"
Only When I Laugh	"Comedy, Drama"
Our Town	"Classics, Drama"
Out of the Dark	"Comedy, Drama, Horror, Mystery & Suspense"
The Out-of-Towners	"Classics, Comedy"
The Parent Trap	"Classics, Comedy, Kids & Family, Romance"
The Party	"Classics, Comedy"
Pennies From Heaven	"Drama, Musical & Performing Arts, Romance"
Peter Pan	"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
The Phantom of the Opera	Horror
Phantom Of The Opera	"Classics, Drama, Horror"
The Picture of Dorian Gray	"Classics, Drama, Horror, Science Fiction & Fantasy"
The Pink Panther	"Comedy, Mystery & Suspense, Romance"
Piranha	"Comedy, Horror, Science Fiction & Fantasy"
The Pirates of Penzance	"Action & Adventure, Classics, Comedy, Musical & Performing Arts"
Pit and the Pendulum (The Pit and the Pendulum)	"Cult Movies, Horror"
Planet of the Apes	"Classics, Science Fiction & Fantasy"
Point Blank	"Action & Adventure, Classics, Drama, Mystery & Suspense"
Pollyanna	"Drama, Kids & Family"
Poltergeist	Horror
Popeye	"Action & Adventure, Comedy, Kids & Family, Musical & Performing Arts"
The Poseidon Adventure	"Action & Adventure, Drama, Mystery & Suspense"
Posse	"Action & Adventure, Western"
The Postman Always Rings Twice	"Classics, Drama, Mystery & Suspense"
The Postman Always Rings Twice	"Drama, Mystery & Suspense"
Power	Drama
Pride and Prejudice	"Classics, Comedy, Drama"
The Prince and the Pauper	"Action & Adventure, Classics, Drama"
The Prisoner of Zenda	"Action & Adventure, Classics, Drama"
The Prisoner	"Art House & International, Classics, Drama"
The Producers	"Classics, Comedy"
Project X	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Prom Night	Horror
Promised Land	Drama
Prophecy	"Horror, Science Fiction & Fantasy"
The Protector	"Action & Adventure, Drama"
The Prowler	Horror
The Public Enemy	"Action & Adventure, Classics, Drama, Musical & Performing Arts"
Pulse	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Quo Vadis?	"Classics, Documentary, Drama, Special Interest, Romance, Faith & Spirituality"
A Raisin in the Sun	"Classics, Drama"
Raw Deal	Action & Adventure
The Razor's Edge	"Classics, Drama, Romance"
The Razor's Edge	Drama
Rear Window	"Classics, Drama, Mystery & Suspense"
Red Dawn	Action & Adventure
Red Heat	"Action & Adventure, Classics, Drama"
The Red Shoes	"Classics, Drama, Musical & Performing Arts, Romance"
Red Sonja	"Action & Adventure, Science Fiction & Fantasy"
Monanieba (Repentance)	"Art House & International, Drama"
Return to Oz	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
Revenge	"Action & Adventure, Drama, Mystery & Suspense, Romance"
Rich and Famous	"Comedy, Drama"
Risky Business	Comedy
Road House	"Action & Adventure, Mystery & Suspense"
Robin Hood	"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
RoboCop	"Action & Adventure, Drama, Science Fiction & Fantasy"
Rock 'n' Roll High School	Comedy
Rocky	"Drama, Sports & Fitness"
Romeo and Juliet	"Drama, Romance"
Rudolph the Red-Nosed Reindeer	"Animation, Classics, Kids & Family, Television"
Runaway	"Action & Adventure, Science Fiction & Fantasy"
Running Scared	"Action & Adventure, Comedy"
Sabotage	"Classics, Mystery & Suspense"
Sabrina	"Classics, Comedy, Drama, Romance"
Sahara	"Action & Adventure, Classics, Drama"
Samson and Delilah	"Classics, Drama"
Scanners	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Scarecrow	"Classics, Drama"
Scarface	"Classics, Drama"
Scrooge	"Drama, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
The Sea Hawk	"Action & Adventure, Classics, Drama, Romance"
Second Sight	"Comedy, Science Fiction & Fantasy"
Blind Terror (See No Evil)	"Drama, Horror, Mystery & Suspense"
Separate Tables	"Classics, Drama"
Shadow of a Doubt	"Classics, Drama, Mystery & Suspense"
Shaft	"Action & Adventure, Classics"
The Shaggy Dog	"Classics, Comedy, Kids & Family, Science Fiction & Fantasy"
Shakedown	"Action & Adventure, Drama, Mystery & Suspense"
Shall We Dance	"Classics, Comedy, Drama, Musical & Performing Arts, Romance"
The Shooting	"Action & Adventure, Classics, Drama, Western"
Short Circuit	"Comedy, Kids & Family, Science Fiction & Fantasy"
A Shot in the Dark	"Classics, Comedy, Drama"
Show Boat	"Classics, Drama, Musical & Performing Arts"
"Silent Night, Deadly Night"	Horror
The Silent Partner	"Comedy, Drama, Mystery & Suspense, Romance"
Silver Streak	"Action & Adventure, Comedy, Romance"
Simon	"Comedy, Science Fiction & Fantasy"
Sinbad the Sailor	"Action & Adventure, Drama, Science Fiction & Fantasy, Romance"
Skin Deep	Comedy
Sleeping Beauty	"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
Something to Sing About	"Classics, Comedy, Drama, Musical & Performing Arts"
Sorcerer	"Action & Adventure, Mystery & Suspense"
Sparkle	"Drama, Musical & Performing Arts"
Spartacus	"Action & Adventure, Classics, Drama"
Splash	"Comedy, Science Fiction & Fantasy, Romance"
Spring Break	Comedy
The Squeeze	"Action & Adventure, Comedy, Mystery & Suspense, Romance"
The St. Valentine's Day Massacre	"Action & Adventure, Cult Movies, Drama, Mystery & Suspense"
Stagecoach	"Action & Adventure, Classics, Drama, Western"
Stage Fright	"Classics, Documentary, Drama, Mystery & Suspense"
Stakeout	"Comedy, Mystery & Suspense"
A Star Is Born	"Classics, Drama"
A Star Is Born	"Classics, Drama, Musical & Performing Arts"
A Star is Born	"Drama, Musical & Performing Arts, Romance"
101 Dalmatians	"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense"
101 Dalmatians II: Patch's London Adventure	"Animation, Kids & Family, Musical & Performing Arts"
The Sting	"Classics, Comedy, Drama"
The Stranger	"Classics, Drama, Mystery & Suspense"
A Streetcar Named Desire	"Classics, Drama"
Suddenly	"Action & Adventure, Classics, Drama, Mystery & Suspense"
Summer School	Comedy
The Sundowners	"Action & Adventure, Classics, Drama"
The Sunshine Boys	"Classics, Comedy, Drama"
Suspect	"Drama, Horror, Mystery & Suspense"
Suspicion	"Classics, Drama, Mystery & Suspense"
Svengali	"Classics, Drama, Horror, Mystery & Suspense"
Sweet Bird of Youth	"Classics, Drama"
Swing Time	"Classics, Musical & Performing Arts, Romance"
Swiss Family Robinson	"Action & Adventure, Kids & Family"
A Tale of Two Cities	"Classics, Drama, Romance"
The Taming of the Shrew	"Classics, Comedy, Drama, Romance"
Target	"Action & Adventure, Drama, Mystery & Suspense"
"Tarzan, the Ape Man"	Action & Adventure
Tempest	"Comedy, Documentary, Drama, Special Interest"
The Ten Commandments	"Classics, Drama, Faith & Spirituality"
The Ten Commandments	"Classics, Drama, Faith & Spirituality"
Tales of Terror	"Classics, Comedy, Cult Movies, Horror, Mystery & Suspense"
That Championship Season	Drama
Them!	"Classics, Horror, Science Fiction & Fantasy"
Shivers (They Came from Within) (The Parasite Murders)	"Horror, Science Fiction & Fantasy"
They Drive by Night	"Classics, Drama"
Thief	"Action & Adventure, Drama, Mystery & Suspense"
The Thing from Another World	"Classics, Horror, Science Fiction & Fantasy"
The Thing	"Horror, Science Fiction & Fantasy"
Thirst	"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
This Gun for Hire	"Classics, Drama, Mystery & Suspense"
Three Amigos!	"Comedy, Western"
The Three Musketeers	"Action & Adventure, Classics, Comedy, Drama, Romance"
The Three Musketeers	"Action & Adventure, Comedy"
The Time Machine	"Action & Adventure, Classics, Science Fiction & Fantasy"
Tommy	"Drama, Musical & Performing Arts"
The Toolbox Murders	"Drama, Horror"
Top Secret!	Comedy
I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence)	"Art House & International, Horror, Mystery & Suspense"
Touch of Evil	"Classics, Drama, Mystery & Suspense"
Tough Guys	Comedy
Treasure Island	"Action & Adventure, Classics"
Treasure Island	"Action & Adventure, Classics, Kids & Family"
Le Procès (The Trial)	"Art House & International, Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Trip	"Action & Adventure, Classics, Drama, Science Fiction & Fantasy"
Twelve O'Clock High	"Action & Adventure, Classics, Drama"
Uncommon Valor	"Action & Adventure, Drama"
The Undefeated	"Classics, Western"
Unfaithfully Yours	"Classics, Comedy, Musical & Performing Arts, Romance"
Venom	"Cult Movies, Horror, Mystery & Suspense"
Vice Versa	"Comedy, Kids & Family, Science Fiction & Fantasy"
Victory	"Action & Adventure, Drama"
Village of the Damned	"Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Warriors	"Action & Adventure, Cult Movies, Drama"
We're No Angels	"Comedy, Romance"
Weird Science	"Comedy, Science Fiction & Fantasy"
When a Stranger Calls	"Horror, Mystery & Suspense"
Where the Boys Are	"Classics, Comedy, Drama, Romance"
White Christmas	"Classics, Kids & Family, Musical & Performing Arts, Special Interest"
Winchester '73	"Classics, Western"
Witness	"Drama, Mystery & Suspense, Romance"
A Woman's Face	"Classics, Drama, Mystery & Suspense"
The Women	"Classics, Comedy, Drama"
The Wrong Man	"Classics, Drama"
Wuthering Heights	"Classics, Drama, Romance"
Year of the Dragon	"Action & Adventure, Drama"
The Yearling	"Classics, Kids & Family"
"Yours, Mine and Ours"	"Classics, Comedy, Kids & Family"
Blue Steel	"Action & Adventure, Drama, Mystery & Suspense"
Where the Heart Is	"Comedy, Drama"
The Guardian	"Horror, Mystery & Suspense"
Mystery Train	"Art House & International, Comedy, Drama"
Revolution	"Action & Adventure, Drama"
Henry V	"Action & Adventure, Drama, Romance"
Kiss of Death	"Classics, Drama, Mystery & Suspense"
Alice in Wonderland	"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy"
My Blue Heaven	Comedy
State Fair	"Classics, Musical & Performing Arts"
Dick Tracy	"Action & Adventure, Comedy, Drama"
Bombshell (Blonde Bombshell)	"Classics, Comedy, Drama, Romance"
Navy Seals	"Action & Adventure, Mystery & Suspense"
"Goodbye, Mr. Chips"	"Drama, Musical & Performing Arts, Romance"
102 Dalmatians	"Comedy, Kids & Family"
The Champ	"Classics, Drama, Kids & Family"
Narrow Margin	"Action & Adventure, Mystery & Suspense"
Red Dust	"Drama, Romance"
Desperate Hours	"Drama, Mystery & Suspense"
Ghost	"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance"
Memphis Belle	"Action & Adventure, Drama"
Faust	"Art House & International, Horror, Science Fiction & Fantasy"
Gun Crazy (Deadly Is the Female)	"Action & Adventure, Classics, Drama"
The Jungle Book	"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
The Long Goodbye	"Classics, Drama, Mystery & Suspense"
Houdini	"Classics, Drama"
Avalon	Drama
The Rookie	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
The Long Walk Home	Drama
Anastasia	"Classics, Drama"
Jane Eyre	"Classics, Drama, Romance"
The Pit and the Pendulum	Horror
GoodFellas	Drama
After Hours	"Comedy, Mystery & Suspense"
White Fang	"Action & Adventure, Drama, Kids & Family"
Boy Meets Girl (1984)	"Art House & International, Drama, Romance"
Mata Hari	"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance"
Alice	"Comedy, Drama, Romance"
Hidden Agenda	"Drama, Mystery & Suspense"
The Connection	"Classics, Drama"
The Entertainer	"Art House & International, Classics, Drama, Musical & Performing Arts"
"Sorry, Wrong Number"	"Classics, Drama, Horror, Mystery & Suspense"
Awakenings	Drama
Diabolique (Les Diaboliques)	Mystery & Suspense
True Colors	Drama
Switch	"Comedy, Science Fiction & Fantasy"
The Field	"Art House & International, Drama"
Oscar	"Comedy, Drama, Mystery & Suspense"
Night Nurse	Drama
Fury	"Classics, Drama, Mystery & Suspense"
Possessed	"Classics, Drama, Mystery & Suspense"
Born to Kill	"Classics, Drama"
Toy Soldiers	"Action & Adventure, Drama, Mystery & Suspense"
Come and See (Idi i smotri)	"Art House & International, Drama"
The Miracle	Drama
Hot Shots!	Comedy
Dogfight	"Drama, Romance"
The Hitman	Action & Adventure
Teacher's Pet	"Classics, Comedy, Drama, Romance"
Shattered	"Art House & International, Drama, Mystery & Suspense"
Romeo and Juliet	"Classics, Drama, Romance"
The Doctor	Drama
Paradise	Drama
The Commitments	"Comedy, Drama, Musical & Performing Arts"
Frankie & Johnny	"Comedy, Drama, Romance"
Deceived	"Drama, Mystery & Suspense"
The Star	"Classics, Drama"
Poison	"Art House & International, Drama, Horror"
Cape Fear	"Drama, Mystery & Suspense"
Homo Faber (Voyager)	"Art House & International, Drama, Romance"
My Girl	"Comedy, Drama, Kids & Family"
JFK	"Drama, Mystery & Suspense"
The Man in the Moon	"Drama, Romance"
The Prize	"Action & Adventure, Classics, Drama, Mystery & Suspense"
The Train	"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
Father of the Bride	Comedy
Rush	"Action & Adventure, Drama, Mystery & Suspense"
Medicine Man	Drama
Platinum Blonde	"Classics, Comedy, Romance"
The Uninvited	"Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance"
